"sample_ID,N,10,0","COUNT,N,10,0","AREA,N,19,11","MIN,N,19,11","MAX,N,19,11","RANGE,N,19,11","MEAN,N,19,11","STD,N,19,11","SUM,N,19,11"
199,1,1000000,0.595793917,0.595793917,0,0.595793917,0,0.595793917
200,1,1000000,0.916360615,0.916360615,0,0.916360615,0,0.916360615
201,1,1000000,0.570995667,0.570995667,0,0.570995667,0,0.570995667
202,1,1000000,0.26434248,0.26434248,0,0.26434248,0,0.26434248
203,1,1000000,0.862468091,0.862468091,0,0.862468091,0,0.862468091
204,1,1000000,0.867714964,0.867714964,0,0.867714964,0,0.867714964
205,1,1000000,0.561319721,0.561319721,0,0.561319721,0,0.561319721
206,1,1000000,0.643839696,0.643839696,0,0.643839696,0,0.643839696
207,1,1000000,0.888359218,0.888359218,0,0.888359218,0,0.888359218
210,1,1000000,0.490221302,0.490221302,0,0.490221302,0,0.490221302
211,1,1000000,0.586309577,0.586309577,0,0.586309577,0,0.586309577
212,1,1000000,0.468780067,0.468780067,0,0.468780067,0,0.468780067
213,1,1000000,0.408610693,0.408610693,0,0.408610693,0,0.408610693
214,1,1000000,0.477401592,0.477401592,0,0.477401592,0,0.477401592
215,1,1000000,0.199257664,0.199257664,0,0.199257664,0,0.199257664
216,1,1000000,0.486410084,0.486410084,0,0.486410084,0,0.486410084
217,1,1000000,0.420803949,0.420803949,0,0.420803949,0,0.420803949
218,1,1000000,0.707796361,0.707796361,0,0.707796361,0,0.707796361
219,1,1000000,0.154593788,0.154593788,0,0.154593788,0,0.154593788
220,1,1000000,0.141129659,0.141129659,0,0.141129659,0,0.141129659
221,1,1000000,0.155425681,0.155425681,0,0.155425681,0,0.155425681
222,1,1000000,0.44607141,0.44607141,0,0.44607141,0,0.44607141
223,1,1000000,0.161292574,0.161292574,0,0.161292574,0,0.161292574
224,1,1000000,0.41248389,0.41248389,0,0.41248389,0,0.41248389
225,1,1000000,0.15259044,0.15259044,0,0.15259044,0,0.15259044
226,1,1000000,0.628171013,0.628171013,0,0.628171013,0,0.628171013
227,1,1000000,0.694399537,0.694399537,0,0.694399537,0,0.694399537
