"SITE_id" "LONG" "LAT"
46922934 15.11529 49.40272
48942960 17.92237 49.47461
48842968 17.79654 49.5556
48742900 17.56414 48.9573
48722956 17.61459 49.45976
48722938 17.58941 49.29886
48722916 17.55882 49.10213
48702966 17.60114 49.55099
48662964 17.54328 49.5368
48662942 17.5128 49.34015
48582946 17.40864 49.38321
48562914 17.33805 49.09884
48522958 17.34352 49.49585
48482928 17.24751 49.2312
48462938 17.23343 49.32236
48442952 17.2246 49.44934
48362956 17.11994 49.49218
48302960 17.04261 49.53308
48263050 17.10636 50.3415
48222982 16.9609 49.73679
48203004 16.9618 49.93526
48202950 16.89232 49.45217
48182952 16.86739 49.47173
48163002 16.90369 49.92077
49142992 18.24555 49.7406
49083010 18.19016 49.90734
48982978 18.00387 49.63151
48963010 18.02398 49.91922
48922986 17.93301 49.70878
48842982 17.81681 49.68077
48823010 17.82997 49.9328
48803000 17.78768 49.84538
48723006 17.68559 49.90656
48703044 17.71201 50.24792
43322872 10.15016 48.96108
43222856 10.01362 48.81728
43202926 9.98621 49.44688
43162914 9.9312 49.33893
43142836 9.90504 48.63736
43062920 9.79342 49.39273
43042898 9.76683 49.19482
43022872 9.74061 48.96092
42982918 9.68336 49.37449
42982896 9.68463 49.17665
42962938 9.65455 49.55425
42962902 9.65688 49.23051
42922926 9.60017 49.4462
42902946 9.57088 49.62571
42862834 9.52549 48.61841
42822960 9.45891 49.75132
42822906 9.46428 49.26575
42782902 9.40977 49.2295
42782872 9.41298 48.95965
42722910 9.3254 49.30019
42722860 9.33256 48.85128
42642870 9.22214 48.94051
42622896 9.19103 49.17452
42582904 9.13493 49.2457
42462870 8.97652 48.93853
42402894 8.88985 49.1536
42402858 8.89704 48.82982
42462906 8.97014 49.26249
42402876 8.89347 48.99176
42362906 8.83254 49.26093
42282892 8.7268 49.13399
42282820 8.74233 48.48623
42222936 8.63259 49.52845
42182928 8.57952 49.45593
42162884 8.56355 49.05998
42142870 8.53994 48.93361
42122902 8.50399 49.22105
41862864 8.16001 48.87408
42402742 8.91962 47.78629
42222792 8.66772 48.23347
42182748 8.62462 47.83688
42122800 8.53127 48.30377
41962754 8.32939 47.88688
41682828 7.92829 48.54605
41582722 7.8341 47.5904
41562726 7.80581 47.62558
41542720 7.78162 47.57111
41522764 7.73765 47.96629
41422748 7.61058 47.8196
43302768 10.12062 48.02552
43222748 10.01313 47.84541
43182820 9.95944 48.49343
43182798 9.95887 48.29534
43182784 9.9597 48.16938
43122768 9.87938 48.02548
43042816 9.77022 48.45713
43002766 9.71871 48.00723
42962776 9.66428 48.0972
42942738 9.6403 47.7547
42862808 9.52767 48.38447
42822748 9.47927 47.84436
42762760 9.39792 47.95195
42722806 9.33901 48.36554
42602758 9.18383 47.9324
42602746 9.18582 47.82458
42422826 8.93048 48.54224
45362764 12.87768 47.95193
45142806 12.60272 48.33686
45102786 12.53975 48.15831
45062798 12.49134 48.26742
45042812 12.47061 48.39386
45022808 12.44182 48.35854
44842784 12.18978 48.1478
44762812 12.09278 48.4017
44662802 11.95434 48.31425
44622820 11.90656 48.47706
44542782 11.78743 48.1368
44482856 11.72848 48.8039
44482808 11.71366 48.37221
44422846 11.64389 48.71519
44402818 11.60859 48.46376
44382828 11.5844 48.55412
44342874 11.54302 48.96856
44282854 11.45582 48.78978
44282848 11.45424 48.73584
44282836 11.4511 48.6279
44282830 11.44956 48.57394
44242806 11.38944 48.35883
44202858 11.34797 48.82714
44202778 11.3288 48.10754
